With filtering out non-convergence results
(10, 'hilbert')
63:  {'name': 'cr with gasm', 'time': 0.0002243518829345703, 'residual_norm': 0.0012758001595161177, 'num_of_iterations': 1}
64:  {'name': 'cr with ilu', 'time': 7.081031799316406e-05, 'residual_norm': 0.0012758001595161177, 'num_of_iterations': 1}
65:  {'name': 'cr with telescope', 'time': 0.00021767616271972656, 'residual_norm': 0.0012758001595161177, 'num_of_iterations': 1}
66:  {'name': 'qmrcgs with icc', 'time': 7.05718994140625e-05, 'residual_norm': 0.0012826273943066307, 'num_of_iterations': 1}
67:  {'name': 'groppcg with asm', 'time': 0.00026416778564453125, 'residual_norm': 0.0013178966798423517, 'num_of_iterations': 2}
68:  {'name': 'groppcg with bjacobi', 'time': 0.00026607513427734375, 'residual_norm': 0.0013178966798423517, 'num_of_iterations': 2}
69:  {'name': 'groppcg with gasm', 'time': 0.00023818016052246094, 'residual_norm': 0.0013178966798423517, 'num_of_iterations': 2}
70:  {'name': 'groppcg with ilu', 'time': 9.608268737792969e-05, 'residual_norm': 0.0013178966798423517, 'num_of_iterations': 2}
71:  {'name': 'groppcg with telescope', 'time': 0.00022864341735839844, 'residual_norm': 0.0013178966798423517, 'num_of_iterations': 2}
72:  {'name': 'cg with cholesky', 'time': 5.269050598144531e-05, 'residual_norm': 0.0013231987014114426, 'num_of_iterations': 2}
73:  {'name': 'qmrcgs with asm', 'time': 0.00021719932556152344, 'residual_norm': 0.0013364935505378675, 'num_of_iterations': 1}
74:  {'name': 'qmrcgs with bjacobi', 'time': 0.0002720355987548828, 'residual_norm': 0.0013364935505378675, 'num_of_iterations': 1}
75:  {'name': 'qmrcgs with gasm', 'time': 0.00020384788513183594, 'residual_norm': 0.0013364935505378675, 'num_of_iterations': 1}
76:  {'name': 'qmrcgs with ilu', 'time': 6.246566772460938e-05, 'residual_norm': 0.0013364935505378675, 'num_of_iterations': 1}
77:  {'name': 'qmrcgs with telescope', 'time': 0.00022602081298828125, 'residual_norm': 0.0013364935505378675, 'num_of_iterations': 1}
78:  {'name': 'gcr with icc', 'time': 8.082389831542969e-05, 'residual_norm': 0.001340541322782743, 'num_of_iterations': 2}
79:  {'name': 'none with lu', 'time': 1.71661376953125e-05, 'residual_norm': 0.001341247189173874, 'num_of_iterations': 1}
80:  {'name': 'none with redundant', 'time': 1.811981201171875e-05, 'residual_norm': 0.001341247189173874, 'num_of_iterations': 1}
81:  {'name': 'preonly with lu', 'time': 1.621246337890625e-05, 'residual_norm': 0.001341247189173874, 'num_of_iterations': 1}
82:  {'name': 'preonly with redundant', 'time': 1.8358230590820312e-05, 'residual_norm': 0.001341247189173874, 'num_of_iterations': 1}
83:  {'name': 'cg with asm', 'time': 0.00020956993103027344, 'residual_norm': 0.0013419156907975988, 'num_of_iterations': 2}
84:  {'name': 'cg with bjacobi', 'time': 0.0001850128173828125, 'residual_norm': 0.0013419156907975988, 'num_of_iterations': 2}
85:  {'name': 'cg with gasm', 'time': 0.00020194053649902344, 'residual_norm': 0.0013419156907975988, 'num_of_iterations': 2}
86:  {'name': 'cg with ilu', 'time': 5.602836608886719e-05, 'residual_norm': 0.0013419156907975988, 'num_of_iterations': 2}
87:  {'name': 'cg with telescope', 'time': 0.00021409988403320312, 'residual_norm': 0.0013419156907975988, 'num_of_iterations': 2}
88:  {'name': 'bicg with cholesky', 'time': 7.62939453125e-05, 'residual_norm': 0.0013591487430149344, 'num_of_iterations': 1}
89:  {'name': 'pipecg2 with lu', 'time': 5.602836608886719e-05, 'residual_norm': 0.0013648195379319082, 'num_of_iterations': 2}
90:  {'name': 'pipecg2 with redundant', 'time': 6.890296936035156e-05, 'residual_norm': 0.0013648195379319082, 'num_of_iterations': 2}
91:  {'name': 'minres with cholesky', 'time': 5.3882598876953125e-05, 'residual_norm': 0.001385262077324973, 'num_of_iterations': 2}
92:  {'name': 'lgmres with gamg', 'time': 0.0027229785919189453, 'residual_norm': 0.001389372455724461, 'num_of_iterations': 101}
93:  {'name': 'fgmres with ksp', 'time': 0.0001659393310546875, 'residual_norm': 0.0013975419586845126, 'num_of_iterations': 2}
94:  {'name': 'fgmres with redistribute', 'time': 0.0002484321594238281, 'residual_norm': 0.0013975419586845126, 'num_of_iterations': 2}
95:  {'name': 'fbcgs with icc', 'time': 5.1975250244140625e-05, 'residual_norm': 0.0014103589722534852, 'num_of_iterations': 1}
96:  {'name': 'richardson with lu', 'time': 6.842613220214844e-05, 'residual_norm': 0.0014118145054285974, 'num_of_iterations': 4}
97:  {'name': 'richardson with redundant', 'time': 7.104873657226562e-05, 'residual_norm': 0.0014118145054285974, 'num_of_iterations': 4}
98:  {'name': 'bicg with asm', 'time': 0.0003230571746826172, 'residual_norm': 0.0014161672561869025, 'num_of_iterations': 1}
99:  {'name': 'bicg with bjacobi', 'time': 0.00027370452880859375, 'residual_norm': 0.0014161672561869025, 'num_of_iterations': 1}
100:  {'name': 'bicg with gasm', 'time': 0.0002548694610595703, 'residual_norm': 0.0014161672561869025, 'num_of_iterations': 1}
101:  {'name': 'bicg with ilu', 'time': 9.465217590332031e-05, 'residual_norm': 0.0014161672561869025, 'num_of_iterations': 1}
102:  {'name': 'fbcgsr with icc', 'time': 4.5299530029296875e-05, 'residual_norm': 0.0014405234977190513, 'num_of_iterations': 1}
103:  {'name': 'lgmres with none', 'time': 0.005263090133666992, 'residual_norm': 0.0014579316819665988, 'num_of_iterations': 657}
104:  {'name': 'pipebcgs with ksp', 'time': 0.006896257400512695, 'residual_norm': 0.0014663715747022794, 'num_of_iterations': 202}
105:  {'name': 'pipebcgs with redistribute', 'time': 0.00790095329284668, 'residual_norm': 0.0014663715747022794, 'num_of_iterations': 202}
106:  {'name': 'qmrcgs with ksp', 'time': 0.00013184547424316406, 'residual_norm': 0.0014671078386690952, 'num_of_iterations': 1}
107:  {'name': 'qmrcgs with redistribute', 'time': 0.00013971328735351562, 'residual_norm': 0.0014671078386690952, 'num_of_iterations': 1}
108:  {'name': 'gmres with cholesky', 'time': 8.893013000488281e-05, 'residual_norm': 0.001471936086518866, 'num_of_iterations': 1}
109:  {'name': 'lgmres with cholesky', 'time': 6.985664367675781e-05, 'residual_norm': 0.001471936086518866, 'num_of_iterations': 1}
